question,distractor3,distractor1,distractor2,correct_answer,support
Stefan's law of radiation states that the power radiated is proportional to:,The cube of absolute temperature,The square of absolute temperature,Absolute temperature,The fourth power of absolute temperature,"Stefan-Boltzmann law: P = εσAT⁴, where σ = 5.67 × 10⁻⁸ W/m²K⁴, A is surface area, T is absolute temperature, and ε is emissivity. The T⁴ dependence means doubling temperature increases radiated power by 16 times."
What is an ideal gas?,A gas that obeys all laws perfectly at any conditions,A gas at room temperature and pressure,A gas with constant pressure and temperature,A theoretical gas where molecules have no volume and no intermolecular forces,An ideal gas is a theoretical model where gas molecules are point particles with no volume and no intermolecular attractions or repulsions. Real gases approach ideal behaviour at low pressure and high temperature. The ideal gas law PV = nRT describes ideal gas behaviour.
The ideal gas law is written as:,PV = RT,PV = NkT only,P = nRT/V²,PV = nRT,"The ideal gas law PV = nRT combines Boyle's, Charles's, and Avogadro's laws. P is pressure (Pa), V is volume (m³), n is moles, R is the universal gas constant (8.314 J/mol·K), and T is temperature in kelvin. It can also be written PV = NkT where N is number of molecules and k is Boltzmann's constant."
What happens to the entropy of the universe in a natural process?,It first increases then decreases,It always decreases,It remains constant,It always increases,"The second law of thermodynamics: in any natural (irreversible) process, the total entropy of the universe increases. Entropy measures disorder/randomness. While entropy can decrease locally (e.g., in a refrigerator's contents), the surroundings gain more entropy, so total entropy increases."
Triple point of water refers to:,Temperature where water is densest,The boiling point at all pressures,The midpoint between freezing and boiling,Temperature and pressure where all three phases of water coexist,"The triple point of water (273.16 K, 611.73 Pa) is the unique temperature and pressure at which ice, liquid water, and water vapour coexist in equilibrium. It is used to define the Kelvin temperature scale and calibrate thermometers precisely."
Internal energy of an ideal gas depends on:,"Pressure, volume, and temperature",Pressure and temperature,Volume only,Temperature only,"For an ideal gas, molecules have no intermolecular potential energy. All internal energy is kinetic. Since average kinetic energy depends only on temperature (KE = 3/2 kT per molecule), the internal energy U = nCvT depends only on temperature, not pressure or volume."
What is the strong nuclear force?,Gravitational force inside the nucleus,Force between electrons and nucleus,Force responsible for radioactive decay,Force that holds protons and neutrons together in the nucleus,The strong nuclear force (strong force) overcomes electrostatic repulsion between protons and binds nucleons (protons and neutrons) together in the nucleus. It is the strongest of the four fundamental forces but has a very short range (~1 fm = 10⁻¹⁵ m). Gluons are its carrier particles.
What is a neutrino?,A nuclear particle with charge -1,A type of photon,A heavy version of the electron,"A nearly massless, neutral elementary particle from weak interactions","Neutrinos are elementary particles with near-zero mass, no electric charge, and very weak interaction with matter — billions pass through us every second from the Sun without effect. They are produced in beta decay and nuclear reactions. Three flavours exist: electron, muon, and tau neutrinos."
The mass number of a nucleus is:,Atomic mass in grams,Number of protons only,Number of electrons in the atom,Total number of protons and neutrons (nucleons),"Mass number A = Z + N, where Z is the atomic number (number of protons) and N is the number of neutrons. Isotopes have the same Z but different N (and thus different A). For example, Carbon-12 and Carbon-14 both have Z = 6, but different mass numbers."
What is antimatter?,Matter at extremely low temperature,Dark matter with negative mass,Matter moving faster than light,Matter consisting of antiparticles with opposite charges to normal particles,"Antimatter consists of antiparticles: same mass as matter particles but opposite quantum numbers (e.g., opposite charge). The positron is the antielectron (charge +e). When matter meets antimatter, they annihilate, converting all mass to energy (E = mc²). PET scanners use positron-electron annihilation."
What is quantisation of energy?,Energy decreases in quantum steps,Energy is always conserved,Energy exists as continuous waves,Energy can only take certain discrete values,"Quantisation means energy comes in discrete packets rather than continuous amounts. Planck's quantum hypothesis: energy of oscillators E = nhf (n = 0,1,2,...). Atomic electrons can only occupy discrete energy levels. This explains atomic spectra, photoelectric effect, and the stability of atoms."
Radioactive decay is a:,Chemical reaction in the nucleus,Process that can be accelerated by heating,Predictable process with fixed decay time,"Random, spontaneous nuclear process unaffected by external conditions","Radioactive decay is a random quantum process — we cannot predict when any individual nucleus will decay. However, for large numbers of nuclei, we can predict half-life statistically. Decay rate is not affected by temperature, pressure, or chemical state — it depends only on nuclear structure."
In pair production:,Two photons merge into one,An electron splits into two smaller particles,A proton and neutron combine,A photon creates an electron-positron pair,Pair production occurs when a high-energy photon (gamma ray) near a nucleus is converted to an electron-positron pair. The minimum photon energy required is 2m_e c² = 1.022 MeV (to create both particles' rest mass). It is the reverse of electron-positron annihilation.
The Compton effect demonstrates that photons have:,Zero energy,Mass like electrons,Negative charge,Momentum,"The Compton effect: X-rays scattered by electrons emerge with longer wavelength (lower energy). This can only be explained if photons carry momentum p = h/λ = E/c, colliding with electrons like billiard balls. It provided direct evidence for the particle nature of light beyond the photoelectric effect."
What does 'wave-particle duality' mean?,Light is only a wave,Waves travel twice as fast as particles,All matter is made of waves,Quantum entities exhibit both wave and particle properties depending on experiment,"Wave-particle duality: quantum objects (electrons, photons, etc.) behave like waves in some experiments (interference, diffraction) and like particles in others (photoelectric effect, Compton scattering). The double-slit experiment shows electrons creating an interference pattern even when sent one at a time."
Nuclear binding energy is:,Energy of electrons in an atom,Energy released in radioactive decay,Kinetic energy of nucleons inside nucleus,Energy needed to completely separate all nucleons in a nucleus,Nuclear binding energy = (mass of separated nucleons - mass of nucleus) × c². It represents the energy holding nucleons together. Iron-56 has the highest binding energy per nucleon (most stable). Fission of heavy nuclei and fusion of light nuclei both release energy by moving toward greater stability.
What is Bremsstrahlung radiation?,Radiation produced by radioactive decay,Radiation from nuclear fission,Infrared emission from hot bodies,X-rays produced when fast electrons decelerate in a material,Bremsstrahlung ('braking radiation' in German) is electromagnetic radiation emitted when charged particles (especially electrons) decelerate due to deflection by atomic nuclei. It produces a continuous X-ray spectrum and is the main source of X-rays in medical X-ray tubes.
The four fundamental forces of nature are:,"Gravity, electromagnetism, centripetal, centrifugal","Gravity, friction, tension, normal force","Electric, magnetic, nuclear, chemical","Gravity, electromagnetism, strong nuclear, weak nuclear","The four fundamental forces are: gravity (weakest, infinite range), electromagnetic (infinite range, governs chemistry), weak nuclear (responsible for beta decay, very short range), and strong nuclear (binds nucleons, very short range). All other forces (friction, tension, etc.) are manifestations of these."
What is a black body?,A body at absolute zero temperature,A body with no electrical conductivity,An object that reflects all light,An ideal object that absorbs all incident radiation and emits maximum radiation,A black body is an idealised object that absorbs all electromagnetic radiation at all wavelengths (hence 'black') and emits radiation across all wavelengths according to Planck's blackbody radiation law. Its emission spectrum depends only on temperature. Stars approximate blackbodies.
Gravitational potential energy is zero when:,When kinetic energy is maximum,Only in vacuum,When the object is at rest,At the defined reference level (often ground level),"Gravitational PE = mgh where h is measured from a chosen reference level (usually ground level or some other convenient point). At h = 0, PE = 0. The reference can be chosen anywhere convenient — only differences in PE are physically meaningful, not absolute values."
What is the function of a fuse in a circuit?,To reduce resistance,To increase voltage,To store electrical energy,To break the circuit if current exceeds a safe level,"A fuse contains a thin wire that melts if the current exceeds its rating, breaking the circuit and protecting equipment from overload or short circuits. Fuses are rated in amperes. Once blown, a fuse must be replaced. Circuit breakers perform the same function but can be reset."
Standing waves can be formed by:,A wave bouncing between two surfaces without interference,A single wave reflected once,Waves of different frequencies interfering,Superposition of two identical waves travelling in opposite directions,"Standing waves (stationary waves) form when two waves of the same frequency, amplitude, and wavelength travel in opposite directions and superpose. Nodes (zero amplitude) and antinodes (maximum amplitude) form fixed positions. Examples: guitar strings, organ pipes, microwave cavities."
Which lens corrects myopia (short-sightedness)?,Plane glass,Convex (converging) lens,Cylindrical lens,Concave (diverging) lens,"Myopia (nearsightedness) occurs when the eye focuses parallel rays in front of the retina. A concave (diverging) lens diverges light before it enters the eye, effectively moving the focal point back onto the retina. Convex lenses correct hyperopia (farsightedness) by converging light more strongly."
What is the Doppler shift of light from a galaxy moving away from us?,The light disappears completely,Blue shift (light shifted to shorter wavelengths),No shift in wavelength,Red shift (light shifted to longer wavelengths),"When a light source moves away from an observer, observed wavelength increases (shifts toward red end of spectrum) — redshift. The Hubble law states that distant galaxies show redshift proportional to distance, evidence for the expanding universe. Approaching galaxies show blueshift."
What is the principle of superposition of waves?,Waves cannot occupy the same space,Waves always cancel each other when they meet,The largest wave always dominates,The resultant displacement is the algebraic sum of individual displacements,"The superposition principle: when two or more waves overlap, the resultant displacement at any point is the algebraic sum of the individual displacements. Waves pass through each other unchanged. This principle explains interference, beats, standing waves, and diffraction patterns."
What is an isotope?,Radioactive forms of any element,Atoms of different elements with the same mass number,Atoms with different numbers of protons,Atoms of the same element with different numbers of neutrons,"Isotopes are atoms of the same element (same atomic number Z, same number of protons) but with different mass numbers (different numbers of neutrons). For example, Carbon-12 and Carbon-14 both have 6 protons but 6 and 8 neutrons respectively. Some isotopes are stable, others radioactive."
The Kelvin scale differs from the Celsius scale in that:,"Kelvin measures heat content, not temperature",Kelvin degrees are twice as large as Celsius degrees,Kelvin can have negative values,Kelvin uses absolute zero as its zero point (0 K = -273.15°C),"The Kelvin scale uses the same size degree as Celsius but starts at absolute zero (0 K = -273.15°C). Water freezes at 273.15 K and boils at 373.15 K. Kelvin is the SI unit of temperature and is used in physics equations (gas laws, blackbody radiation, Boltzmann's formula)."
The phenomenon of interference requires:,A medium for wave propagation,Two waves of different frequencies,Waves of very high amplitude,Two coherent wave sources,"Interference requires coherent sources (constant phase difference, same frequency). Constructive interference occurs when path difference = nλ (waves in phase, amplitudes add). Destructive interference occurs when path difference = (n+½)λ (waves out of phase, amplitudes cancel)."
An electric motor converts:,Chemical energy to electrical energy,Mechanical energy to electrical energy,Thermal energy to electrical energy,Electrical energy to mechanical (kinetic) energy,An electric motor uses the force on current-carrying conductors in a magnetic field (F = BIL) to produce rotational motion. It converts electrical energy to mechanical energy. A generator does the reverse — it converts mechanical energy to electrical energy using electromagnetic induction.
The speed of electromagnetic waves in vacuum depends on:,The source of the electromagnetic wave,The frequency of the wave,The amplitude of the wave,The permeability and permittivity of free space,"Maxwell showed c = 1/√(ε₀μ₀) where ε₀ is the permittivity of free space (electric) and μ₀ is the permeability of free space (magnetic). This gives c ≈ 3.0 × 10⁸ m/s. All EM waves travel at c in vacuum regardless of frequency, amplitude, or source."
What distinguishes nuclear reactions from chemical reactions?,Nuclear reactions are slower than chemical ones,Nuclear reactions are always exothermic,Chemical reactions produce radiation,Nuclear reactions involve changes in the nucleus; chemical reactions involve electrons,"Chemical reactions involve rearrangement of electrons and breaking/forming chemical bonds; atomic nuclei remain unchanged. Nuclear reactions (fission, fusion, decay) involve changes to the nucleus — proton/neutron numbers change, elements can transmute, and energy released is millions of times greater than chemical reactions."
What is the Pauli exclusion principle?,Protons and neutrons cannot share energy levels,All particles occupy the lowest energy state,Electrons can only exist in pairs,No two fermions can occupy the same quantum state simultaneously,"The Pauli exclusion principle: no two identical fermions (particles with half-integer spin, like electrons) can occupy the same quantum state. For electrons in an atom, no two can have the same four quantum numbers. This determines atomic structure, the periodic table, and the properties of matter."
What is a photon?,A magnetic monopole,A charged particle emitted by the nucleus,A unit of electrical charge,A discrete packet (quantum) of electromagnetic energy,"A photon is the quantum of electromagnetic radiation — the fundamental carrier of light and all EM waves. Photons have energy E = hf, momentum p = h/λ, travel at c, and have zero rest mass. They exhibit both wave and particle properties (wave-particle duality)."
The Rutherford gold foil experiment proved that:,Protons and neutrons are equally distributed,Electrons are embedded in a positive sphere,Atoms are indivisible,"The atom has a small, dense, positively charged nucleus","Rutherford (1909-1911) fired alpha particles at gold foil and found most passed straight through, but a few deflected at large angles or bounced back. This proved atoms are mostly empty space with a tiny, dense, positively charged nucleus. It overturned Thomson's plum pudding model."
What is the difference between AC and DC electricity?,AC can only be produced by batteries,AC has higher voltage than DC,DC is more dangerous than AC,AC periodically reverses direction; DC flows in one constant direction,"Direct current (DC) flows continuously in one direction (batteries, solar cells produce DC). Alternating current (AC) periodically reverses direction, typically sinusoidally. Mains electricity is AC (50 Hz in India/UK, 60 Hz in USA). AC is used for power transmission as voltage can be stepped up/down with transformers."
What is electromagnetic induction?,Heating of conductors by eddy currents,Attraction of metals by electromagnets,Production of magnetic field by current,Generation of EMF by changing magnetic flux through a conductor,"Electromagnetic induction: a changing magnetic flux through a conductor induces an EMF (Faraday's law: EMF = -dΦ/dt). This is the reverse of a motor. Generators, transformers, and induction hobs all use electromagnetic induction. Discovered by Michael Faraday in 1831."
In which situation is potential energy maximum for a pendulum?,Potential energy is constant throughout,At the lowest point of its swing,When it swings through the midpoint,At the highest point of its swing,"For a pendulum, gravitational PE = mgh is maximum at the highest points of the swing (maximum displacement from equilibrium), where KE = 0. At the lowest point, PE is minimum and KE is maximum. Energy continuously converts between PE and KE throughout the swing."
What does a voltmeter measure and how should it be connected?,Power; connected in parallel,Current; connected in series with the component,Resistance; connected in series,Potential difference; connected in parallel with the component,"A voltmeter measures potential difference (voltage) across a component and must be connected in parallel with it. It has very high internal resistance to avoid drawing significant current. An ammeter measures current and is connected in series, with very low resistance to minimally affect the circuit."
What is the significance of the Bohr radius?,The diameter of an atom,The radius of the nucleus,The wavelength of visible light,The most probable distance of an electron from the nucleus in hydrogen's ground state,"The Bohr radius a₀ ≈ 0.0529 nm (53 pm) is the most probable electron-nucleus distance in hydrogen's ground state (n=1 orbit in Bohr model). In quantum mechanics, it represents the radius at which the 1s wavefunction's probability density is maximum. It sets the scale of atomic sizes."
Gamma rays differ from alpha and beta radiation in that they are:,Positively charged nuclei,Faster than light,Negatively charged particles,Electromagnetic waves with no charge or mass,"Gamma (γ) rays are high-energy electromagnetic radiation (photons) with no mass or charge. They have the greatest penetrating power (require thick lead or concrete to shield). Unlike alpha or beta particles, gamma emission does not change atomic or mass number of the nucleus."
Which physical quantity has the unit kilogram per cubic metre?,Momentum,Pressure,Specific heat capacity,Density,"Density ρ = mass/volume has SI units of kg/m³. Water has density 1000 kg/m³, air about 1.2 kg/m³. Objects with density less than a fluid float in it. Density determines whether materials sink or float, affects fluid dynamics, and is important in material identification."
What is the Hall effect?,Increase in conductivity under magnetic fields,Generation of current by light,Resistance change with temperature in semiconductors,Production of a transverse voltage when a current-carrying conductor is in a magnetic field,"The Hall effect: when a conductor or semiconductor carrying current is placed in a perpendicular magnetic field, a transverse voltage (Hall voltage) develops across it. This occurs because the magnetic force deflects charge carriers to one side. Hall effect sensors are used to measure magnetic field strength."
What is diffraction?,Absorption of waves by materials,Bending of waves at a boundary between media,Bouncing of waves off surfaces,Spreading of waves around obstacles or through gaps,"Diffraction is the spreading or bending of waves when they encounter an obstacle or pass through an opening. It is most pronounced when the wavelength is comparable to the obstacle/gap size. Single-slit diffraction, X-ray crystallography, and radio wave propagation around buildings all involve diffraction."
What causes the pressure in a gas?,Expansion of molecules,Weight of gas molecules,Attractive forces between gas molecules,Collisions of gas molecules with container walls,Gas pressure arises from the force exerted by gas molecules colliding with the container walls. Each collision exerts a tiny impulse; the cumulative effect of billions of collisions per second per square centimetre produces measurable pressure. Higher temperature → faster molecules → more forceful collisions → higher pressure.
Electric field strength is measured in:,Amperes per metre,Coulombs per metre,Joules per coulomb,Newtons per coulomb (or volts per metre),"Electric field E = F/q, where F is force (N) and q is charge (C), so the unit is N/C. Since V = J/C and J = N·m, we get N/C = V/m. Both N/C and V/m are correct SI units for electric field strength. The electric field points in the direction of force on a positive charge."
What is a photovoltaic cell?,A battery charged by chemical reactions,A device that converts electrical energy into light,A type of capacitor that stores light,A device that converts light energy into electrical energy,"Photovoltaic (PV) cells (solar cells) use the photovoltaic effect — light photons excite electrons across a semiconductor junction, generating a potential difference and current. Silicon solar cells convert 15-25% of sunlight to electricity. They form the basis of solar panels for renewable energy generation."
What are quarks?,Neutral particles in the nucleus,Particles of light,The smallest electrons,Fundamental particles that make up protons and neutrons,"Quarks are fundamental elementary particles that combine to form hadrons (e.g., protons and neutrons). There are 6 'flavours': up, down, strange, charm, top, bottom. Protons contain 2 up quarks and 1 down quark (uud). Quarks are never found in isolation — they are confined by the strong force."
What is the principle of reversibility of light?,Light reflects at the same angle as incidence,Light always travels in straight lines,Light cannot be created or destroyed,Light follows the same path if its direction is reversed,"The principle of reversibility: if a ray of light follows a certain path, it will follow the same path if its direction of travel is reversed. This applies to reflection, refraction, and all optical phenomena. It means the laws of optics are the same in both directions along any optical path."
What is the electromagnetic spectrum?,The spectrum of electron energies in atoms,The visible light spectrum only,The range of magnetic field strengths,The range of all possible frequencies of electromagnetic radiation,"The electromagnetic spectrum includes all types of EM radiation ordered by frequency (and wavelength): radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays. All travel at c in vacuum. They differ only in frequency/wavelength/energy; all are oscillating E and B fields."
What does the term 'half-value thickness' mean in radiation physics?,The layer where radiation changes type,Half the total thickness of a radiation shield,Depth at which half the radiation is reflected,Thickness of material that reduces radiation intensity by half,"Half-value layer (HVL) or half-value thickness is the thickness of a given material required to reduce the intensity of radiation to half its original value. It depends on the radiation type, energy, and material. Lead has a small HVL for gamma rays, making it effective for radiation shielding."
What is the principle of a laser?,Electrical discharge through gas,Heating of gas until it glows,Reflection of light between mirrors until bright,"Stimulated emission of coherent, monochromatic, collimated light","LASER (Light Amplification by Stimulated Emission of Radiation): photons trigger excited atoms to emit identical photons (stimulated emission). An optical cavity (mirrors) amplifies this, producing a beam of coherent (same phase), monochromatic (one wavelength), and highly collimated (parallel) light. Uses: surgery, communications, barcode readers, DVDs."
What is meant by the 'rest mass energy' of a particle?,The energy needed to create the particle from photons,The kinetic energy when moving at c,The gravitational potential energy of the particle,The energy equivalent of its mass when at rest: E₀ = m₀c²,"Rest mass energy E₀ = m₀c² is the energy equivalent of a particle's rest mass, from Einstein's mass-energy equivalence. For an electron, E₀ = 9.11 × 10⁻³¹ × (3 × 10⁸)² ≈ 8.2 × 10⁻¹⁴ J = 0.511 MeV. When moving, total energy E = γm₀c² (γ ≥ 1)."
